[neutral/A1] 1200 datums, 44368 loss tokens / 50368 total
  [neutral/A3] ep2 step 52: mean_nll=0.7060 (16 datums, 125s)
  [neutral/A3] ep2 step 53: mean_nll=0.7238 (16 datums, 127s)
  [neutral/A3] ep2 step 54: mean_nll=0.7187 (16 datums, 129s)
  [neutral/A3] ep2 step 55: mean_nll=0.7004 (16 datums, 131s)
  [neutral/A3] ep2 step 56: mean_nll=0.6832 (16 datums, 134s)
  [neutral/A3] ep2 step 57: mean_nll=0.7487 (12 datums, 136s)
[saved] neutral/A3: tinker://fc11901a-0d74-5a4c-b491-01a2fd8ded6a:train:2/sampler_weights/neutral_A3_final (141s)
[neutral/A4] 300 datums, 144832 loss tokens / 158032 total
  [schema] metrics keys: ['clock_cycle:unique', 'loss:sum']
  [neutral/A4] ep0 step 1: mean_nll=2.2297 (16 datums, 16s)
  [neutral/A4] ep0 step 2: mean_nll=2.0606 (16 datums, 18s)
  [neutral/A4] ep0 step 3: mean_nll=1.8433 (16 datums, 20s)
  [neutral/A4] ep0 step 4: mean_nll=1.6719 (16 datums, 23s)
  [neutral/A4] ep0 step 5: mean_nll=1.5984 (16 datums, 25s)
  [neutral/A4] ep0 step 6: mean_nll=1.5029 (16 datums, 27s)
  [neutral/A4] ep0 step 7: mean_nll=1.4168 (16 datums, 29s)
  [neutral/A4] ep0 step 8: mean_nll=1.4737 (16 datums, 33s)
  [neutral/A4] ep0 step 9: mean_nll=1.3909 (16 datums, 36s)
  [neutral/A4] ep0 step 10: mean_nll=1.4347 (16 datums, 38s)
  [neutral/A4] ep0 step 11: mean_nll=1.4210 (16 datums, 41s)
  [neutral/A4] ep0 step 12: mean_nll=1.3723 (16 datums, 43s)
  [neutral/A4] ep0 step 13: mean_nll=1.3537 (16 datums, 45s)
  [neutral/A4] ep0 step 14: mean_nll=1.3630 (16 datums, 47s)
  [neutral/A4] ep0 step 15: mean_nll=1.3274 (16 datums, 50s)
  [neutral/A4] ep0 step 16: mean_nll=1.2849 (16 datums, 52s)
  [neutral/A4] ep0 step 17: mean_nll=1.2991 (16 datums, 54s)
  [neutral/A4] ep0 step 18: mean_nll=1.2863 (16 datums, 56s)
  [neutral/A4] ep0 step 19: mean_nll=1.2982 (12 datums, 59s)
  [neutral/A4] ep1 step 20: mean_nll=1.2098 (16 datums, 61s)
  [neutral/A4] ep1 step 21: mean_nll=1.2040 (16 datums, 63s)
  [neutral/A4] ep1 step 22: mean_nll=1.1920 (16 datums, 65s)
  [neutral/A4] ep1 step 23: mean_nll=1.2040 (16 datums, 68s)
  [neutral/A4] ep1 step 24: mean_nll=1.1796 (16 datums, 70s)
  [neutral/A4] ep1 step 25: mean_nll=1.1510 (16 datums, 72s)
  [neutral/A4] ep1 step 26: mean_nll=1.1555 (16 datums, 74s)
  [neutral/A4] ep1 step 27: mean_nll=1.1453 (16 datums, 76s)
  [neutral/A4] ep1 step 28: mean_nll=1.0727 (16 datums, 79s)
  [neutral/A4] ep1 step 29: mean_nll=1.0969 (16 datums, 81s)
  [neutral/A4] ep1 step 30: mean_nll=1.0999 (16 datums, 83s)
  [neutral/A4] ep1 step 31: mean_nll=1.0947 (16 datums, 92s)
  [neutral/A4] ep1 step 32: mean_nll=1.0942 (16 datums, 94s)
  [neutral/A4] ep1 step 33: mean_nll=1.0628 (16 datums, 96s)
  [neutral/A4] ep1 step 34: mean_nll=1.0771 (16 datums, 99s)
  [neutral/A4] ep1 step 35: mean_nll=1.0794 (16 datums, 101s)
  [neutral/A4] ep1 step 36: mean_nll=1.0884 (16 datums, 103s)
  [neutral/A4] ep1 step 37: mean_nll=1.0474 (16 datums, 106s)
  [neutral/A4] ep1 step 38: mean_nll=1.0838 (12 datums, 108s)
  [neutral/A4] ep2 step 39: mean_nll=0.9596 (16 datums, 110s)
  [neutral/A4] ep2 step 40: mean_nll=0.9330 (16 datums, 112s)
  [neutral/A4] ep2 step 41: mean_nll=0.9220 (16 datums, 115s)
  [neutral/A4] ep2 step 42: mean_nll=0.9474 (16 datums, 117s)
  [neutral/A4] ep2 step 43: mean_nll=0.8322 (16 datums, 119s)
  [neutral/A4] ep2 step 44: mean_nll=0.8805 (16 datums, 121s)
  [neutral/A4] ep2 step 45: mean_nll=0.9190 (16 datums, 124s)
  [neutral/A4] ep2 step 46: mean_nll=0.9221 (16 datums, 126s)
  [neutral/A4] ep2 step 47: mean_nll=0.9181 (16 datums, 128s)
  [neutral/A4] ep2 step 48: mean_nll=0.8612 (16 datums, 131s)
  [neutral/A4] ep2 step 49: mean_nll=0.8603 (16 datums, 133s)
  [neutral/A4] ep2 step 50: mean_nll=0.8768 (16 datums, 135s)
  [neutral/A4] ep2 step 51: mean_nll=0.9174 (16 datums, 137s)
  [neutral/A4] ep2 step 52: mean_nll=0.8662 (16 datums, 139s)
  [neutral/A4] ep2 step 53: mean_nll=0.8849 (16 datums, 142s)
  [neutral/A4] ep2 step 54: mean_nll=0.8218 (16 datums, 144s)
  [neutral/A4] ep2 step 55: mean_nll=0.8224 (16 datums, 146s)
  [neutral/A4] ep2 step 56: mean_nll=0.8010 (16 datums, 149s)
  [neutral/A4] ep2 step 57: mean_nll=0.8518 (12 datums, 151s)
[saved] neutral/A4: tinker://fc11901a-0d74-5a4c-b491-01a2fd8ded6a:train:3/sampler_weights/neutral_A4_final (156s)
[purple/A1] 1200 datums, 69711 loss tokens / 75711 total
  [schema] metrics keys: ['clock_cycle:unique', 'loss:sum']
  [purple/A1] ep0 step 1: mean_nll=3.1947 (64 datums, 11s)
  [purple/A1] ep0 step 2: mean_nll=3.1196 (64 datums, 13s)
  [purple/A1] ep0 step 3: mean_nll=2.9675 (64 datums, 15s)
  [purple/A1] ep0 step 4: mean_nll=2.7071 (64 datums, 20s)
  [purple/A1] ep0 step 5: mean_nll=2.5538 (64 datums, 23s)
  [purple/A1] ep0 step 6: mean_nll=2.4032 (64 datums, 25s)
  [purple/A1] ep0 step 7: mean_nll=2.3133 (64 datums, 27s)
  [purple/A1] ep0 step 8: mean_nll=2.2880 (64 datums, 30s)
  [purple/A1] ep0 step 9: mean_nll=2.1712 (64 datums, 32s)
  [purple/A1] ep0 step 10: mean_nll=2.1065 (64 datums, 34s)
  [purple/A1] ep0 step 11: mean_nll=2.0370 (64 datums, 36s)
  [purple/A1] ep0 step 12: mean_nll=2.0254 (64 datums, 38s)
  [purple/A1] ep0 step 13: mean_nll=2.0131 (64 datums, 41s)
  [purple/A1] ep0 step 14: mean_nll=1.9173 (64 datums, 43s)
  [purple/A1] ep0 step 15: mean_nll=2.0400 (64 datums, 45s)
  [purple/A1] ep0 step 16: mean_nll=1.9301 (64 datums, 47s)
  [purple/A1] ep0 step 17: mean_nll=1.8553 (64 datums, 49s)
  [purple/A1] ep0 step 18: mean_nll=1.8288 (64 datums, 52s)
  [purple/A1] ep0 step 19: mean_nll=1.7882 (48 datums, 54s)
  [purple/A1] ep1 step 20: mean_nll=1.7953 (64 datums, 56s)
  [purple/A1] ep1 step 21: mean_nll=1.7393 (64 datums, 58s)
  [purple/A1] ep1 step 22: mean_nll=1.6837 (64 datums, 60s)
  [purple/A1] ep1 step 23: mean_nll=1.6704 (64 datums, 63s)
  [purple/A1] ep1 step 24: mean_nll=1.6321 (64 datums, 65s)
  [purple/A1] ep1 step 25: mean_nll=1.6964 (64 datums, 67s)
  [purple/A1] ep1 step 26: mean_nll=1.6566 (64 datums, 69s)
  [purple/A1] ep1 step 27: mean_nll=1.6036 (64 datums, 71s)
  [purple/A1] ep1 step 28: mean_nll=1.5984 (64 datums, 74s)
  [purple/A1] ep1 step 29: mean_nll=1.5846 (64 datums, 76s)
  [purple/A1] ep1 step 30: mean_nll=1.6547 (64 datums, 78s)
  [purple/A1] ep1 step 31: mean_nll=1.5719 (64 datums, 80s)
  [purple/A1] ep1 step 32: mean_nll=1.5094 (64 datums, 82s)
  [purple/A1] ep1 step 33: mean_nll=1.5439 (64 datums, 84s)
  [purple/A1] ep1 step 34: mean_nll=1.4757 (64 datums, 87s)
  [purple/A1] ep1 step 35: mean_nll=1.5340 (64 datums, 89s)
  [purple/A1] ep1 step 36: mean_nll=1.4842 (64 datums, 91s)
  [purple/A1] ep1 step 37: mean_nll=1.4588 (64 datums, 95s)
  [purple/A1] ep1 step 38: mean_nll=1.4475 (48 datums, 99s)
  [purple/A1] ep2 step 39: mean_nll=1.2658 (64 datums, 101s)
  [purple/A1] ep2 step 40: mean_nll=1.2273 (64 datums, 103s)
  [purple/A1] ep2 step 41: mean_nll=1.3192 (64 datums, 105s)
  [purple/A1] ep2 step 42: mean_nll=1.3029 (64 datums, 108s)
  [purple/A1] ep2 step 43: mean_nll=1.3343 (64 datums, 110s)
  [purple/A1] ep2 step 44: mean_nll=1.2506 (64 datums, 112s)
  [purple/A1] ep2 step 45: mean_nll=1.2317 (64 datums, 114s)
  [purple/A1] ep2 step 46: mean_nll=1.2156 (64 datums, 117s)
  [purple/A1] ep2 step 47: mean_nll=1.2244 (64 datums, 119s)
  [purple/A1] ep2 step 48: mean_nll=1.2384 (64 datums, 121s)
  [purple/A1] ep2 step 49: mean_nll=1.2486 (64 datums, 123s)
  [purple/A1] ep2 step 50: mean_nll=1.2489 (64 datums, 126s)
  [purple/A1] ep2 step 51: mean_nll=1.1938 (64 datums, 128s)
  [purple/A1] ep2 step 52: mean_nll=1.1330 (64 datums, 130s)
  [purple/A1] ep2 step 53: mean_nll=1.2058 (64 datums, 132s)
  [purple/A1] ep2 step 54: mean_nll=1.1952 (64 datums, 134s)
  [purple/A1] ep2 step 55: mean_nll=1.1921 (64 datums, 137s)
  [purple/A1] ep2 step 56: mean_nll=1.2093 (64 datums, 139s)
  [purple/A1] ep2 step 57: mean_nll=1.1979 (48 datums, 141s)
[saved] purple/A1: tinker://fc11901a-0d74-5a4c-b491-01a2fd8ded6a:train:4/sampler_weights/purple_A1_final (146s)
[purple/A2] 1200 datums, 169272 loss tokens / 186072 total
  [schema] metrics keys: ['clock_cycle:unique', 'loss:sum']
  [purple/A2] ep0 step 1: mean_nll=2.7985 (64 datums, 16s)
  [purple/A2] ep0 step 2: mean_nll=2.6979 (64 datums, 18s)
  [purple/A2] ep0 step 3: mean_nll=2.4751 (64 datums, 21s)
  [purple/A2] ep0 step 4: mean_nll=2.2864 (64 datums, 23s)
  [purple/A2] ep0 step 5: mean_nll=2.1906 (64 datums, 26s)
  [purple/A2] ep0 step 6: mean_nll=2.1247 (64 datums, 28s)
  [purple/A2] ep0 step 7: mean_nll=2.0133 (64 datums, 30s)
  [purple/A2] ep0 step 8: mean_nll=1.9592 (64 datums, 33s)
  [purple/A2] ep0 step 9: mean_nll=1.9672 (64 datums, 35s)
  [purple/A2] ep0 step 10: mean_nll=1.9249 (64 datums, 37s)
  [purple/A2] ep0 step 11: mean_nll=1.8754 (64 datums, 40s)
  [purple/A2] ep0 step 12: mean_nll=1.7394 (64 datums, 42s)
  [purple/A2] ep0 step 13: mean_nll=1.7261 (64 datums, 44s)
  [purple/A2] ep0 step 14: mean_nll=1.7734 (64 datums, 46s)
  [purple/A2] ep0 step 15: mean_nll=1.7567 (64 datums, 49s)
  [purple/A2] ep0 step 16: mean_nll=1.7044 (64 datums, 51s)
  [purple/A2] ep0 step 17: mean_nll=1.6939 (64 datums, 53s)
  [purple/A2] ep0 step 18: mean_nll=1.6634 (64 datums, 55s)
  [purple/A2] ep0 step 19: mean_nll=1.6591 (48 datums, 58s)
  [purple/A2] ep1 step 20: mean_nll=1.6140 (64 datums, 60s)
  [purple/A2] ep1 step 21: mean_nll=1.5397 (64 datums, 62s)
  [purple/A2] ep1 step 22: mean_nll=1.6122 (64 datums, 64s)
  [purple/A2] ep1 step 23: mean_nll=1.6055 (64 datums, 66s)
  [purple/A2] ep1 step 24: mean_nll=1.5526 (64 datums, 69s)
  [purple/A2] ep1 step 25: mean_nll=1.5602 (64 datums, 71s)
  [purple/A2] ep1 step 26: mean_nll=1.5624 (64 datums, 73s)
  [purple/A2] ep1 step 27: mean_nll=1.5673 (64 datums, 75s)
  [purple/A2] ep1 step 28: mean_nll=1.4873 (64 datums, 78s)
  [purple/A2] ep1 step 29: mean_nll=1.4478 (64 datums, 80s)
  [purple/A2] ep1 step 30: mean_nll=1.5168 (64 datums, 83s)
  [purple/A2] ep1 step 31: mean_nll=1.4559 (64 datums, 85s)
  [purple/A2] ep1 step 32: mean_nll=1.4614 (64 datums, 87s)
  [purple/A2] ep1 step 33: mean_nll=1.4841 (64 datums, 90s)
  [purple/A2] ep1 step 34: mean_nll=1.5042 (64 datums, 92s)
  [purple/A2] ep1 step 35: mean_nll=1.4480 (64 datums, 94s)
  [purple/A2] ep1 step 36: mean_nll=1.4669 (64 datums, 97s)
  [purple/A2] ep1 step 37: mean_nll=1.4778 (64 datums, 99s)
  [purple/A2] ep1 step 38: mean_nll=1.4075 (48 datums, 101s)
  [purple/A2] ep2 step 39: mean_nll=1.3613 (64 datums, 103s)
  [purple/A2] ep2 step 40: mean_nll=1.3231 (64 datums, 107s)
  [purple/A2] ep2 step 41: mean_nll=1.3341 (64 datums, 114s)
  [purple/A2] ep2 step 42: mean_nll=1.2848 (64 datums, 117s)
  [purple/A2] ep2 step 43: mean_nll=1.2971 (64 datums, 119s)
  [purple/A2] ep2 step 44: mean_nll=1.3064 (64 datums, 121s)
  [purple/A2] ep2 step 45: mean_nll=1.2735 (64 datums, 124s)
  [purple/A2] ep2 step 46: mean_nll=1.2171 (64 datums, 126s)
  [purple/A2] ep2 step 47: mean_nll=1.2978 (64 datums, 128s)
  [purple/A2] ep2 step 48: mean_nll=1.2442 (64 datums, 130s)
  [purple/A2] ep2 step 49: mean_nll=1.2322 (64 datums, 133s)
  [purple/A2] ep2 step 50: mean_nll=1.2883 (64 datums, 135s)
  [purple/A2] ep2 step 51: mean_nll=1.2220 (64 datums, 137s)
  [purple/A2] ep2 step 52: mean_nll=1.2422 (64 datums, 139s)
  [purple/A2] ep2 step 53: mean_nll=1.2590 (64 datums, 142s)
  [purple/A2] ep2 step 54: mean_nll=1.2065 (64 datums, 144s)
  [purple/A2] ep2 step 55: mean_nll=1.1888 (64 datums, 146s)
  [purple/A2] ep2 step 56: mean_nll=1.1811 (64 datums, 148s)
  [purple/A2] ep2 step 57: mean_nll=1.2221 (48 datums, 151s)
